abc,B,C,D,E,F
slow,0.3,0.442,0.378,0.33799999999999997,0.37
proud very,0.636,0.31,0.258,0.316,0.252
learn free,0.789,0.285,0.267,0.29900000000000004,0.22000000000000003
never thought easy,0.61,0.41900000000000004,0.41600000000000004,0.42200000000000004,0.437
too,0,0,0,0,0
computer,0.538,0.368,0.258,0.286,0.284
computer,0.538,0.368,0.258,0.286,0.284
world,0.5860000000000001,0.32,0.366,0.352,0.308
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
good much,0.884,0.23399999999999999,0.22799999999999998,0.242,0.22599999999999998
computer,0.538,0.368,0.258,0.286,0.284
computer,0.538,0.368,0.258,0.286,0.284
secure,0.8119999999999999,0.22599999999999998,0.258,0.302,0.22799999999999998
not like,0,0,0,0,0
computer,0.538,0.368,0.258,0.286,0.284
bar,0.622,0.318,0.32599999999999996,0.33199999999999996,0.324
quite,0,0,0,0,0
guilty,0.21600000000000003,0.534,0.606,0.5599999999999999,0.442
slow,0.3,0.442,0.378,0.33799999999999997,0.37
home,0.82,0.284,0.346,0.264,0.244
complete,0,0,0,0,0
memory,0.6719999999999999,0.4,0.49400000000000005,0.384,0.33799999999999997
nice little,0.8539999999999999,0.22200000000000003,0.23199999999999998,0.22799999999999998,0.22400000000000003
home,0.82,0.284,0.346,0.264,0.244
like,0,0,0,0,0
memory,0.6719999999999999,0.4,0.49400000000000005,0.384,0.33799999999999997
letter,0.584,0.264,0.296,0.296,0.242
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25
building,0.33399999999999996,0.248,0.238,0.27999999999999997,0.25
adult,0.51,0.282,0.318,0.42800000000000005,0.236
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
not,0,0,0,0,0
people,0.626,0.382,0.38,0.386,0.344
home,0.82,0.284,0.346,0.264,0.244
good news,0.656,0.32599999999999996,0.359,0.354,0.32199999999999995
good news,0.656,0.32599999999999996,0.359,0.354,0.32199999999999995
good news,0.656,0.32599999999999996,0.359,0.354,0.32199999999999995
world,0.5860000000000001,0.32,0.366,0.352,0.308
part,0.316,0.256,0.298,0.274,0.252
people,0.626,0.382,0.38,0.386,0.344
answer not,0.47000000000000003,0.284,0.27,0.3,0.22200000000000003
people,0.626,0.382,0.38,0.386,0.344
adult,0.51,0.282,0.318,0.42800000000000005,0.236
broken,0.22799999999999998,0.5780000000000001,0.646,0.48200000000000004,0.33999999999999997
broken,0.22799999999999998,0.5780000000000001,0.646,0.48200000000000004,0.33999999999999997
broken,0.22799999999999998,0.5780000000000001,0.646,0.48200000000000004,0.33999999999999997
arm,0.366,0.246,0.21800000000000003,0.23399999999999999,0.22599999999999998
